Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	197.00	25,138	47.0	1.3133	4.5	92%	1	0	0
Cloudtail India	197.00	1,299,241	47.0	1.3133	4.5	92%	1	1	1
Read factor	197.00	1,528	47.0	1.3133	3.5	67%	0	0	0
Buy Amazing Books	203.00	3,555	53.0	1.3533	3	51%	0	0	0
World500	203.00	3,267	53.0	1.3533	4	76%	0	0	0
Bookswale Hyderabad	150.00	78	0.0	1.0	3	43%	0	0	0
R-our Book	224.00	1,304	74.0	1.4933	4	77%	0	0	0
Amazing_Buy	270.00	17,787	120.0	1.8	4.5	95%	1	0	0
Inetrade India	195.66	3,254	45.66	1.3044	4	75%	0	0	0
PANORAMA BOOKSTOREnot just a bookstore	200.00	3	50.0	1.3333	4.5	100%	0	0	0
Sri Ganesha Books	215.00	382	65.0	1.4333	4	82%	0	0	0
RSONS	221.00	481	71.0	1.4733	4.5	84%	0	0	0
A Mind's Bookstore	218.00	1,409	68.0	1.4533	4.5	89%	0	0	0
SRBOOKWORLD	298.00	404	148.0	1.9867	4.5	93%	0	0	0
Goodread Bookstore	221.00	579	71.0	1.4733	5	97%	0	0	0
MONOBO BOOKS	218.00	117	68.0	1.4533	4.5	86%	0	0	0
Winmaarc	305.00	118	155.0	2.0333	3.5	68%	0	0	0
Crossword Bookstores Ltd	239.00	2,475	89.0	1.5933	4	74%	0	0	0
BSK Book	289.00	160	139.0	1.9267	3.5	61%	0	0	0
The Bookhive	239.20	43	89.2	1.5947	4	80%	0	0	0
Royal500	315.00	882	165.0	2.1	4.5	92%	0	0	0
S R int Store	227.24		77.24	1.5149			0	0	0
Suryan Books	239.00	39	89.0	1.5933	4.5	95%	0	0	0
SBM Enterprises	230.23	48	80.23	1.5349	4	75%	0	0	0
CrossWord Books	275.00	116	125.0	1.8333	5	95%	0	0	0
S B T books	277.00	113	127.0	1.8467	4.5	88%	0	0	0
W S Retaill	276.00	34	126.0	1.84	3.5	68%	0	0	0
BW ENTERPRISES	231.00	44	81.0	1.54	4	79%	0	0	0
ScribbleGraffito	245.18	29	95.18	1.6345	4.5	91%	0	0	0
Abhinav Books Store	263.12	60	113.12	1.7541	3	53%	0	0	0
Skycart	254.00	479	104.0	1.6933	4.5	90%	0	0	0
BooksRaja	231.00	171	81.0	1.54	4.5	85%	0	0	0
Resource book store	254.00	1	104.0	1.6933	5	100%	0	0	0
BOOKKR	299.00	5	149.0	1.9933	3.5	60%	0	0	0
V5MARK	231.00	8	81.0	1.54	4	75%	0	0	0
BookAdda	266.00	365	116.0	1.7733	3	46%	0	0	0
BookInc	270.00	17	120.0	1.8	4.5	94%	0	0	0
NS DISTRIBUTOR	299.00	7	149.0	1.9933	4	86%	0	0	0
Book store01	329.00	14	179.0	2.1933	3.5	57%	0	0	0
Shreeganesh16	286.00	27	136.0	1.9067	4.5	83%	0	0	0
Browsers' Lounge	288.00	122	138.0	1.92	4.5	96%	0	0	0
Books-a-zillion	269.10	89	119.1	1.794	4	82%	0	0	0
A to Z Book House	299.00	1,275	149.0	1.9933	3	46%	0	0	0
Booksmandi	299.00	2,531	149.0	1.9933	4.5	89%	0	0	0
Ambe Books	361.09	2	211.09	2.4073	3	50%	0	0	0
Ginni Books	361.19	9	211.19	2.4079	4.5	89%	0	0	0
SAI BOOKS	296.00	181	146.0	1.9733	3	46%	0	0	0
Atlantic Publishers and Distributors	733.00	14,538	583.0	4.8867	4.5	94%	0	0	0
Bookswagon	842.00	6,382	692.0	5.6133	4	70%	0	0	0
Peacockbooks	789.00	2,801	639.0	5.26	4.5	92%	0	0	0
The Bookhive	239.20	43	89.2	1.5947	4	80%	0	0	0
BSK Book	299.00	160	149.0	1.9933	3.5	61%	0	0	0
CrossWord Books	275.00	116	125.0	1.8333	5	95%	0	0	0
BW ENTERPRISES	234.00	44	84.0	1.56	4	79%	0	0	0
Abhinav Books Store	269.10	60	119.1	1.794	3	53%	0	0	0
Shreeganesh16	286.00	27	136.0	1.9067	4.5	83%	0	0	0
Sunrise Book store	880.00	1,358	730.0	5.8667	3.5	61%	0	0	0
B2A UK	1206.00	6,928	1056.0	8.04	4.5	83%	0	0	0
