Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Royal500	663.00	875	63.0	1.105	4.5	92%	0	0	0
CrossWord Books	690.00	116	90.0	1.15	5	95%	0	0	0
Shreeganesh16	670.00	27	70.0	1.1167	4.5	83%	0	0	0
Repro Books on Demand	749.00	3,418	149.0	1.2483	4.5	93%	1	0	0
Cloudtail India	750.00	1,299,156	150.0	1.25	4.5	92%	1	1	1
Buy Amazing Books	750.00	3,536	150.0	1.25	3	51%	0	0	0
MK BOOKS INDIA	750.00	2,245	150.0	1.25	2.5	34%	0	0	0
Amazing BookS	600.00	106	0.0	1.0	3	54%	0	0	0
BookInc	698.00	17	98.0	1.1633	4.5	94%	0	0	0
Book store01	750.00	11	150.0	1.25	3	45%	0	0	0
CrossWord Books	690.00	116	90.0	1.15	5	95%	0	0	0
BOOKKR	750.00	5	150.0	1.25	3.5	60%	0	0	0
A to Z Book House	750.00	1,275	150.0	1.25	3	46%	0	0	0
SN Square	825.00	59	225.0	1.375	4	75%	0	0	0
S B T books	692.00	113	92.0	1.1533	4.5	88%	0	0	0
A - Z Books Online	804.00	104	204.0	1.34	4.5	93%	0	0	0
W S Retaill	692.00	34	92.0	1.1533	3.5	69%	0	0	0
Sunrise Book store	985.00	1,356	385.0	1.6417	3.5	61%	0	0	0
Bookswagon	1182.00	6,375	582.0	1.97	4	70%	0	0	0
etohfa	2926.00	23	2326.0	4.8767	5	100%	0	0	0
Bookswagon	1182.00	6,375	582.0	1.97	4	70%	0	0	0
Repro Books on Demand	1243.00	3,418	643.0	2.0717	4.5	93%	1	0	0
Repro Books on Demand	1415.00	3,418	815.0	2.3583	4.5	93%	1	0	0
