Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	1253.00	1,299,242	0.0	1.0	4.5	92%	1	1	1
Bookswagon	1409.00	6,382	156.0	1.1245	4	70%	0	0	0
Atlantic Publishers and Distributors	1425.00	14,538	172.0	1.1373	4.5	94%	0	0	0
INFINITE BOOKS	1440.18	287	187.18	1.1494	5	99%	0	0	0
Sunrise Book store	1382.00	1,358	129.0	1.103	3.5	61%	0	0	0
Sunrise Book store	1628.00	1,358	375.0	1.2993	3.5	61%	0	0	0
B2A UK	1745.00	6,928	492.0	1.3927	4.5	83%	0	0	0
Fast Media 2	1906.41	6,005	653.41	1.5215	4	72%	0	0	0
D R	2119.00	12,169	866.0	1.6911	4	82%	0	0	0
