Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	369.00	3,248	0.0	1.0	4	76%	0	0	0
Buy Amazing Books	385.00	3,536	16.0	1.0434	3	51%	0	0	0
Sri Ganesha Books	396.00	382	27.0	1.0732	4	82%	0	0	1
O_Store	396.00	593	27.0	1.0732	4.5	87%	0	0	0
Comma365	471.00	2,242	102.0	1.2764	4.5	95%	0	0	0
The Bookhive	440.00	43	71.0	1.1924	4	80%	0	0	0
Skycart	451.00	479	82.0	1.2222	4.5	90%	0	0	0
BW ENTERPRISES	440.00	44	71.0	1.1924	4	79%	0	0	0
Booksmandi	440.00	2,530	71.0	1.1924	4.5	89%	0	0	0
MK BOOKS INDIA	550.00	2,245	181.0	1.4905	2.5	34%	0	0	0
BW ENTERPRISES	440.00	44	71.0	1.1924	4	79%	0	0	0
Books-a-zillion	495.00	89	126.0	1.3415	4	82%	0	0	0
Books Cloud	530.00	1	161.0	1.4363	1	0%	0	0	0
CNA Bookstore	495.00	477	126.0	1.3415	4.5	95%	0	0	0
Talekart	550.00	19	181.0	1.4905	5	95%	0	0	0
The Grand_Store	550.00	10	181.0	1.4905	3	50%	0	0	0
A to Z Book House	550.00	1,275	181.0	1.4905	3	46%	0	0	0
ReaderBooks	580.00	441	211.0	1.5718	4	72%	0	0	0
