Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	393.00	1,299,156	0.0	1.0	4.5	92%	1	1	1
uRead-Store	393.00	25,127	0.0	1.0	4.5	92%	1	0	0
Amazing_Buy	466.00	17,781	73.0	1.1858	4.5	95%	1	0	0
R-our Book	449.00	1,304	56.0	1.1425	4	78%	0	0	0
SRBOOKWORLD	549.00	404	156.0	1.3969	4.5	93%	0	0	0
RSONS	480.00	481	87.0	1.2214	4.5	84%	0	0	0
HERITAGE PUBLISHERS	563.00	783	170.0	1.4326	4.5	94%	0	0	0
Bookflow	565.50	3,100	172.5	1.4389	3.5	67%	0	0	0
Comma365	541.00	2,242	148.0	1.3766	4.5	95%	0	0	0
Books-a-zillion	585.00	89	192.0	1.4885	4	82%	0	0	0
Bookflow	565.50	3,100	172.5	1.4389	3.5	67%	0	0	0
A to Z Book House	650.00	1,275	257.0	1.6539	3	46%	0	0	0
