Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
HSS TRADERS	195.00	43	0.0	1.0	4	73%	0	0	0
uRead-Store	294.00	25,155	99.0	1.5077	4.5	92%	1	0	0
skypee	214.00	195	19.0	1.0974	4	74%	0	0	1
BOOKS TO THE WORLD	220.00	4	25.0	1.1282	4	75%	0	0	0
Books-a-zillion	230.00	89	35.0	1.1795	4	82%	0	0	0
Atlantic Publishers and Distributors	655.00	14,541	460.0	3.359	4.5	94%	0	0	0
Peacockbooks	709.00	2,801	514.0	3.6359	4.5	92%	0	0	0
Bookswagon	779.00	6,386	584.0	3.9949	4	70%	0	0	0
Sunrise Book store	811.00	1,360	616.0	4.159	3.5	61%	0	0	0
etohfa	1995.00	23	1800.0	10.2308	5	100%	0	0	0
Bookswagon	788.00	6,386	593.0	4.041	4	70%	0	0	0
Sunrise Book store	750.00	1,360	555.0	3.8462	3.5	61%	0	0	0
Sunrise Book store	753.00	1,360	558.0	3.8615	3.5	61%	0	0	0
