Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bookland International	793.00	317	33.0	1.0434	4.5	89%	0	0	1
Cloudtail India	813.00	1,299,158	53.0	1.0697	4.5	92%	1	1	0
Atlantic Publishers and Distributors	760.00	14,537	0.0	1.0	4.5	94%	0	0	0
Bookswagon	858.00	6,375	98.0	1.1289	4	70%	0	0	0
Peacockbooks	816.00	2,800	56.0	1.0737	4.5	92%	0	0	0
Bookswagon	808.00	6,375	48.0	1.0632	4	70%	0	0	0
Sunrise Book store	915.00	1,356	155.0	1.2039	3.5	61%	0	0	0
JustBuyBooks	955.00	26	195.0	1.2566	3.5	69%	0	0	0
MK BOOKS INDIA	1014.00	2,246	254.0	1.3342	2.5	34%	0	0	0
B2A UK	1085.00	6,928	325.0	1.4276	4.5	83%	0	0	0
Sunrise Book store	896.00	1,356	136.0	1.1789	3.5	61%	0	0	0
Bookswagon	1124.00	6,375	364.0	1.4789	4	70%	0	0	0
Atlantic Publishers and Distributors	1154.00	14,537	394.0	1.5184	4.5	94%	0	0	0
Bookswagon	1124.00	6,375	364.0	1.4789	4	70%	0	0	0
Sunrise Book store	988.00	1,356	228.0	1.3	3.5	61%	0	0	0
