Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Bookswagon	2133.00	6,387	0.0	1.0	4	70%	0	0	0
Peacockbooks	2143.00	2,801	10.0	1.0047	4.5	92%	0	0	0
Sunrise Book store	2297.00	1,359	164.0	1.0769	3.5	61%	0	0	0
B2A UK	2371.00	6,928	238.0	1.1116	4.5	83%	0	0	0
Atlantic Publishers and Distributors	2517.00	14,540	384.0	1.18	4.5	94%	0	0	0
Cloudtail India	2543.00	1,299,289	410.0	1.1922	4.5	92%	1	1	1
Repro Books-On-Demand	2749.00	8,433	616.0	1.2888	4.5	94%	1	0	0
ReproIndia	2749.00	924	616.0	1.2888	4	79%	0	0	0
Fast Media 2	3212.00	6,006	1079.0	1.5059	4	72%	0	0	0
D R	4464.00	12,169	2331.0	2.0928	4	82%	0	0	0
Peacockbooks	2463.00	2,801	330.0	1.1547	4.5	92%	0	0	0
Bookswagon	2533.00	6,387	400.0	1.1875	4	70%	0	0	0
Fast Media 2	3316.82	6,006	1183.82	1.555	4	72%	0	0	0
etohfa	4812.00	23	2679.0	2.256	5	100%	0	0	0
A STAR BOOK	6880.00	5	4747.0	3.2255	5	100%	0	0	0
