Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Buy Amazing Books	203.00	3,572	7.34	1.0375	3	52%	0	0	0
World500	203.00	3,345	7.34	1.0375	4	76%	0	0	0
EverythingStore-2020	210.00	1	14.34	1.0733	5	100%	0	0	0
ParkVendor	224.00		28.34	1.1448			0	0	0
Cocobookz	224.00		28.34	1.1448			0	0	0
Amazing_Buy	228.00	17,791	32.34	1.1653	4.5	95%	1	0	1
uRead-Store	228.00	25,160	32.34	1.1653	4.5	92%	1	0	0
Bookflow	260.13	3,100	64.47	1.3295	3.5	68%	0	0	0
Inetrade India	195.66	3,258	0.0	1.0	4	75%	0	0	0
SachinVentures	274.00	6	78.34	1.4004	4.5	83%	0	0	0
BOOKFACTORY	221.00	6	25.34	1.1295	3.5	67%	0	0	0
Mumbai gift corner	284.00	728	88.34	1.4515	4.5	90%	0	0	0
killer,sbooks	287.00	18	91.34	1.4668	5	100%	0	0	0
MK BOOKS INDIA	299.00	2,249	103.34	1.5282	2.5	34%	0	0	0
Book store01	279.00	14	83.34	1.4259	3.5	57%	0	0	0
Crossword Bookstores Ltd	239.00	2,475	43.34	1.2215	4	74%	0	0	0
Comma365	274.00	2,242	78.34	1.4004	4.5	95%	0	0	0
The Bookhive	239.20	43	43.54	1.2225	4	80%	0	0	0
BSK Book	299.00	160	103.34	1.5282	3.5	60%	0	0	0
CrossWord Books	275.00	116	79.34	1.4055	5	95%	0	0	0
ScribbleGraffito	248.17	29	52.51	1.2684	4.5	91%	0	0	0
Skycart	254.00	479	58.34	1.2982	4.5	90%	0	0	0
BW ENTERPRISES	239.00	44	43.34	1.2215	4	79%	0	0	0
BOOKKR	299.00	5	103.34	1.5282	3.5	60%	0	0	0
Venture360	284.00	25	88.34	1.4515	3	52%	0	0	0
Booknow	239.00	898	43.34	1.2215	4	80%	0	0	0
CNA Bookstore	245.00	477	49.34	1.2522	4.5	95%	0	0	0
BookInc	279.00	17	83.34	1.4259	4.5	94%	0	0	0
S B T books	276.00	113	80.34	1.4106	4.5	88%	0	0	0
W S Retaill	276.00	34	80.34	1.4106	3.5	68%	0	0	0
Amazing BookS	239.00	106	43.34	1.2215	3	54%	0	0	0
Okhla Book Distributor	235.00	60	39.34	1.2011	4.5	95%	0	0	0
Kushii Radiance Bookshop	285.00	63	89.34	1.4566	4.5	84%	0	0	0
SN Square	329.00	59	133.34	1.6815	4	75%	0	0	0
A to Z Book House	299.00	1,275	103.34	1.5282	3	45%	0	0	0
Bookswagon	901.00	6,390	705.34	4.6049	4	70%	0	0	0
Sunrise Book store	1153.00	1,361	957.34	5.8929	3.5	61%	0	0	0
