Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	339.00	3,248	0.0	1.0	4	76%	0	0	0
Read factor	349.00	1,517	10.0	1.0295	3.5	67%	0	0	0
Inetrade India	499.00	3,249	160.0	1.472	4	75%	0	0	1
Browsers' Lounge	576.00	122	237.0	1.6991	4.5	96%	0	0	0
amazingbuy_	699.00	1	360.0	2.0619	5	100%	0	0	0
Payal Books	1299.00	657	960.0	3.8319	3	51%	0	0	0
