Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	408.00	1,299,158	80.0	1.2439	4.5	92%	1	1	0
uRead-Store	408.00	25,127	80.0	1.2439	4.5	92%	1	0	1
aspire india	328.00	331	0.0	1.0	4	73%	0	0	0
Repro Books on Demand	419.00	3,418	91.0	1.2774	4.5	93%	1	0	0
Amazing_Buy	494.00	17,781	166.0	1.5061	4.5	95%	1	0	0
R-our Book	524.00	1,304	196.0	1.5976	4	78%	0	0	0
RSONS	517.00	481	189.0	1.5762	4.5	84%	0	0	0
Bookflow	608.13	3,100	280.13	1.8541	3.5	67%	0	0	0
SRBOOKWORLD	639.00	404	311.0	1.9482	4.5	93%	0	0	0
Sunrise Book store	521.00	1,356	193.0	1.5884	3.5	61%	0	0	0
HERITAGE PUBLISHERS	664.00	783	336.0	2.0244	4.5	94%	0	0	0
Comma365	630.00	2,242	302.0	1.9207	4.5	95%	0	0	0
Bookflow	674.25	3,100	346.25	2.0556	3.5	67%	0	0	0
Bookflow	697.50	3,100	369.5	2.1265	3.5	67%	0	0	0
Sunrise Book store	589.00	1,356	261.0	1.7957	3.5	61%	0	0	0
Books-a-zillion	629.10	89	301.1	1.918	4	82%	0	0	0
A to Z Book House	699.00	1,275	371.0	2.1311	3	46%	0	0	0
Books-a-zillion	697.50	89	369.5	2.1265	4	82%	0	0	0
