Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
BOOKS PLAZA	200.00	159	0.0	1.0	4	72%	0	0	1
Rk & company	249.00	36	49.0	1.245	3.5	65%	0	0	0
Read factor	395.00	1,517	195.0	1.975	3.5	67%	0	0	0
World500	401.00	3,248	201.0	2.005	4	76%	0	0	0
uRead-Store	414.00	25,130	214.0	2.07	4.5	92%	1	0	0
Buy Amazing Books	419.00	3,536	219.0	2.095	3	51%	0	0	0
Amazing_Buy	436.00	17,783	236.0	2.18	4.5	95%	1	0	0
VEKBook	449.00		249.0	2.245			0	0	0
somsebooks	449.00		249.0	2.245			0	0	0
MK BOOKS INDIA	509.00	2,246	309.0	2.545	2.5	34%	0	0	0
Sri Ganesha Books	431.00	382	231.0	2.155	4	82%	0	0	0
FOUNTAINHEAD	431.00	98	231.0	2.155	4.5	91%	0	0	0
A Mind's Bookstore	437.00	1,409	237.0	2.185	4.5	89%	0	0	0
AskTech Books	451.00	2	251.0	2.255	2.5	50%	0	0	0
Inetrade India	456.07	3,250	256.07	2.2803	4	75%	0	0	0
SBM Enterprises	443.26	48	243.26	2.2163	4	75%	0	0	0
Goodread Bookstore	539.00	579	339.0	2.695	5	97%	1	0	0
ReadAhead	539.00	213	339.0	2.695	4	79%	0	0	0
Bookflow	539.10	3,100	339.1	2.6955	3.5	67%	0	0	0
Comma365	505.00	2,242	305.0	2.525	4.5	95%	0	0	0
Royal500	549.00	875	349.0	2.745	4.5	92%	0	0	0
The Bookhive	479.20	43	279.2	2.396	4	80%	0	0	0
GBD BOOKS	479.00	232	279.0	2.395	4	68%	0	0	0
BW ENTERPRISES	467.00	44	267.0	2.335	4	79%	0	0	0
fairdealenterprise	461.23	41	261.23	2.3062	2.5	34%	0	0	0
S B T books	553.00	113	353.0	2.765	4.5	88%	0	0	0
W S Retaill	553.00	34	353.0	2.765	3.5	69%	0	0	0
BSK Book	564.00	159	364.0	2.82	3.5	60%	0	0	0
Skycart	500.00	479	300.0	2.5	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	297.17	2.4859	4.5	91%	0	0	0
Booksmandi	480.00	2,530	280.0	2.4	4.5	89%	0	0	0
Book store01	564.00	11	364.0	2.82	3	45%	0	0	0
Santusti Enterprises	599.00	26	399.0	2.995	4	81%	0	0	0
killer,sbooks	599.00	18	399.0	2.995	5	100%	0	0	0
CrossWord Books	551.00	116	351.0	2.755	5	95%	0	0	0
Amazing BookS	479.00	106	279.0	2.395	3	54%	0	0	0
BookInc	558.00	17	358.0	2.79	4.5	94%	0	0	0
Venture360	569.00	25	369.0	2.845	3	52%	0	0	0
BOOKKR	599.00	5	399.0	2.995	3.5	60%	0	0	0
Browsers' Lounge	576.00	122	376.0	2.88	4.5	96%	0	0	0
Rk & company	249.00	36	49.0	1.245	3.5	65%	0	0	0
ReadAhead	539.00	213	339.0	2.695	4	79%	0	0	0
Bookflow	539.10	3,100	339.1	2.6955	3.5	67%	0	0	0
The Grand_Store	580.00	10	380.0	2.9	3	50%	0	0	0
A to Z Book House	599.00	1,275	399.0	2.995	3	46%	0	0	0
SN Square	659.00	59	459.0	3.295	4	75%	0	0	0
