Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	263.00	1,528	14.0	1.0562	3.5	67%	0	0	0
World500	271.00	3,268	22.0	1.0884	4	76%	0	0	0
Best Price_	249.00	224	0.0	1.0	4	82%	0	0	0
uRead-Store	290.00	25,136	41.0	1.1647	4.5	92%	1	0	0
Amazing_Buy	290.00	17,787	41.0	1.1647	4.5	95%	1	0	1
dealstar	309.00	6,596	60.0	1.241	4.5	85%	0	0	0
Inetrade India	261.07	3,253	12.07	1.0485	4	75%	0	0	0
Bookflow	347.13	3,100	98.13	1.3941	3.5	68%	0	0	0
aspire india	319.00	331	70.0	1.2811	4	73%	0	0	0
ScribbleGraffito	331.17	29	82.17	1.33	4.5	91%	0	0	0
Read factor	263.00	1,528	14.0	1.0562	3.5	67%	0	0	0
Book store01	429.00	14	180.0	1.7229	3.5	57%	0	0	0
Atlantic Publishers and Distributors	667.00	14,538	418.0	2.6787	4.5	94%	0	0	0
Peacockbooks	722.00	2,801	473.0	2.8996	4.5	92%	0	0	0
Bookswagon	786.00	6,382	537.0	3.1566	4	70%	0	0	0
Bookswagon	787.00	6,382	538.0	3.1606	4	70%	0	0	0
Sunrise Book store	810.00	1,358	561.0	3.253	3.5	61%	0	0	0
Bookswagon	751.00	6,382	502.0	3.0161	4	70%	0	0	0
Sunrise Book store	748.00	1,358	499.0	3.004	3.5	61%	0	0	0
ASIA BOOK POINT	1624.00	20	1375.0	6.5221	3.5	60%	0	0	0
Sunrise Book store	785.00	1,358	536.0	3.1526	3.5	61%	0	0	0
