Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	319.00	25,145	0.0	1.0	4.5	92%	1	0	0
Cloudtail India	319.00	1,299,275	0.0	1.0	4.5	92%	1	1	1
Amazing_Buy	349.00	17,789	30.0	1.094	4.5	95%	1	0	0
Crossword Bookstores Ltd	440.00	2,475	121.0	1.3793	4	74%	0	0	0
R-our Book	412.00	1,305	93.0	1.2915	4	77%	0	0	0
RSONS	406.00	481	87.0	1.2727	4.5	84%	0	0	0
Sunrise Book store	408.00	1,359	89.0	1.279	3.5	61%	0	0	0
Book Wise Darya Ganj	515.00	1,098	196.0	1.6144	4.5	89%	0	0	0
SRBOOKWORLD	518.00	404	199.0	1.6238	4.5	93%	0	0	0
Comma365	502.00	2,242	183.0	1.5737	4.5	95%	0	0	0
Amazing_Buy	416.00	17,789	97.0	1.3041	4.5	95%	1	0	0
RSONS	457.00	481	138.0	1.4326	4.5	84%	0	0	0
Skycart	500.00	479	181.0	1.5674	4.5	90%	0	0	0
Sunrise Book store	456.00	1,359	137.0	1.4295	3.5	61%	0	0	0
BOOK CENTRE	508.00	862	189.0	1.5925	4	81%	0	0	0
Books-a-zillion	495.00	89	176.0	1.5517	4	82%	0	0	0
Books-a-zillion	550.00	89	231.0	1.7241	4	82%	0	0	0
Atlantic Publishers and Distributors	866.00	14,540	547.0	2.7147	4.5	94%	0	0	0
Sunrise Book store	1244.00	1,359	925.0	3.8997	3.5	61%	0	0	0
