Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	500.00	17,789	0.0	1.0	4.5	95%	1	0	1
Bookvalley	500.00	9	0.0	1.0	3	56%	0	0	0
World500	503.00	3,277	3.0	1.006	4	76%	0	0	0
uRead-Store	521.00	25,151	21.0	1.042	4.5	92%	1	0	0
Capsbookz	563.00		63.0	1.126			0	0	0
Inetrade India	531.67	3,255	31.67	1.0633	4	75%	0	0	0
R-our Book	562.00	1,305	62.0	1.124	4	77%	0	0	0
Sri Ganesha Books	540.00	382	40.0	1.08	4	82%	0	0	0
FOUNTAINHEAD	540.00	98	40.0	1.08	4.5	91%	0	0	0
A Mind's Bookstore	547.00	1,409	47.0	1.094	4.5	89%	0	0	0
MK BOOKS INDIA	638.00	2,249	138.0	1.276	2.5	34%	0	0	0
SBM Enterprises	555.00	48	55.0	1.11	4	75%	0	0	0
Together Books distributor	567.00	3	67.0	1.134	5	100%	0	0	0
Goodread Bookstore	660.00	579	160.0	1.32	5	97%	1	0	0
Royal500	663.00	882	163.0	1.326	4.5	92%	0	0	0
ReadAhead	674.90	213	174.9	1.3498	4	79%	0	0	0
Bookflow	675.00	3,100	175.0	1.35	3.5	68%	0	0	0
Suryan Books	600.00	39	100.0	1.2	4.5	95%	0	0	0
Booknow	585.00	898	85.0	1.17	4	80%	0	0	0
Skycart	622.00	479	122.0	1.244	4.5	90%	0	0	0
ScribbleGraffito	622.50	29	122.5	1.245	4.5	91%	0	0	0
Mumbai gift corner	713.00	720	213.0	1.426	4.5	89%	0	0	0
Resource book store	638.00	1	138.0	1.276	5	100%	0	0	0
fairdealenterprise	577.50	45	77.5	1.155	2	25%	0	0	0
Amazing BookS	600.00	106	100.0	1.2	3	54%	0	0	0
Abhinav Books Store	660.00	60	160.0	1.32	3	53%	0	0	0
S B T books	692.00	113	192.0	1.384	4.5	88%	0	0	0
W S Retaill	692.00	34	192.0	1.384	3.5	68%	0	0	0
BSK Book	710.00	160	210.0	1.42	3.5	61%	0	0	0
Book store01	710.00	14	210.0	1.42	3.5	57%	0	0	0
CrossWord Books	690.00	116	190.0	1.38	5	95%	0	0	0
Winmaarc	744.00	118	244.0	1.488	3.5	68%	0	0	0
Buy Amazing Books	750.00	3,558	250.0	1.5	3	51%	0	0	0
killer,sbooks	750.00	18	250.0	1.5	5	100%	0	0	0
BookInc	698.00	17	198.0	1.396	4.5	94%	0	0	0
BOOKKR	750.00	5	250.0	1.5	3.5	60%	0	0	0
Browsers' Lounge	720.00	122	220.0	1.44	4.5	96%	0	0	0
A to Z Book House	750.00	1,275	250.0	1.5	3	46%	0	0	0
SN Square	825.00	59	325.0	1.65	4	75%	0	0	0
Special Library	816.00	57	316.0	1.632	4	74%	0	0	0
Bookflow	675.00	3,100	175.0	1.35	3.5	68%	0	0	0
ReadAhead	675.00	213	175.0	1.35	4	79%	0	0	0
Winmaarc	744.00	118	244.0	1.488	3.5	68%	0	0	0
Abhinav Books Store	675.00	60	175.0	1.35	3	53%	0	0	0
fairdealenterprise	750.00	45	250.0	1.5	2	25%	0	0	0
SAI BOOKS	742.00	181	242.0	1.484	3	46%	0	0	0
Books: The Destiny Maker	938.00	285	438.0	1.876	4	68%	0	0	0
Bookswagon	1459.00	6,387	959.0	2.918	4	70%	0	0	0
Sunrise Book store	1417.00	1,359	917.0	2.834	3.5	61%	0	0	0
Sunrise Book store	1689.00	1,359	1189.0	3.378	3.5	61%	0	0	0
Bookswagon	1890.00	6,387	1390.0	3.78	4	70%	0	0	0
Sunrise Book store	1781.00	1,359	1281.0	3.562	3.5	61%	0	0	0
