Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	329.00	17,789	0.0	1.0	4.5	95%	1	0	0
uRead-Store	329.00	25,151	0.0	1.0	4.5	92%	1	0	1
aspire india	350.00	332	21.0	1.0638	4	72%	1	0	0
ReadAhead	359.00	213	30.0	1.0912	4	79%	0	0	0
Bookflow	359.10	3,100	30.1	1.0915	3.5	68%	0	0	0
Goodread Bookstore	379.00	579	50.0	1.152	5	97%	1	0	0
HERITAGE PUBLISHERS	379.00	783	50.0	1.152	4.5	94%	0	0	0
Skycart	331.00	479	2.0	1.0061	4.5	90%	0	0	0
Books-a-zillion	359.10	89	30.1	1.0915	4	82%	0	0	0
A to Z Book House	399.00	1,275	70.0	1.2128	3	46%	0	0	0
Bookflow	359.10	3,100	30.1	1.0915	3.5	68%	0	0	0
Books-a-zillion	399.00	89	70.0	1.2128	4	82%	0	0	0
