Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	6389.00	1,299,156	0.0	1.0	4.5	92%	1	1	1
Atlantic Publishers and Distributors	6906.00	14,537	517.0	1.0809	4.5	94%	0	0	0
Peacockbooks	6993.00	2,800	604.0	1.0945	4.5	92%	0	0	0
Atlantic Publishers and Distributors	7337.00	14,537	948.0	1.1484	4.5	94%	0	0	0
Bookswagon	7589.00	6,375	1200.0	1.1878	4	70%	0	0	0
Sunrise Book store	7405.00	1,356	1016.0	1.159	3.5	61%	0	0	0
Bookswagon	7651.00	6,375	1262.0	1.1975	4	70%	0	0	0
CB-India	7737.00	3,033	1348.0	1.211	4.5	95%	0	0	0
Fast Media 2	8798.17	6,005	2409.17	1.3771	4	72%	0	0	0
etohfa	11283.00	23	4894.0	1.766	5	100%	0	0	0
Sunrise Book store	7532.00	1,356	1143.0	1.1789	3.5	61%	0	0	0
Sunrise Book store	8043.00	1,356	1654.0	1.2589	3.5	61%	0	0	0
