Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	5380.60	17,788	75.0	1.0141	4.5	95%	1	0	1
Inetrade India	5305.60	3,254	0.0	1.0	4	75%	0	0	0
B2A UK	5386.00	6,928	80.4	1.0152	4.5	83%	0	0	0
INFINITE BOOKS	5511.57	288	205.97	1.0388	5	99%	0	0	0
Cloudtail India	5521.00	1,299,266	215.4	1.0406	4.5	92%	1	1	0
Sunrise Book store	5805.00	1,359	499.4	1.0941	3.5	61%	0	0	0
D R	7411.00	12,169	2105.4	1.3968	4	82%	0	0	0
Fast Media 2	7908.23	6,006	2602.63	1.4905	4	72%	0	0	0
RCPL Book$ Masion	10001.00		4695.4	1.885			0	0	0
Book Maker	13692.00		8386.4	2.5807			0	0	0
Sunrise Book store	6764.00	1,359	1458.4	1.2749	3.5	61%	0	0	0
A STAR BOOK	13692.00	5	8386.4	2.5807	5	100%	0	0	0
