Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
uRead-Store	407.00	25,127	0.0	1.0	4.5	92%	1	0	1
Cloudtail India	407.00	1,299,158	0.0	1.0	4.5	92%	1	1	0
World500	407.00	3,248	0.0	1.0	4	76%	0	0	0
Buy Amazing Books	419.00	3,536	12.0	1.0295	3	51%	0	0	0
Amazing_Buy	444.00	17,781	37.0	1.0909	4.5	95%	1	0	0
R-our Book	449.00	1,304	42.0	1.1032	4	78%	0	0	0
MK BOOKS INDIA	509.00	2,246	102.0	1.2506	2.5	34%	0	0	0
FOUNTAINHEAD	431.00	98	24.0	1.059	4.5	91%	0	0	0
Sri Ganesha Books	431.00	382	24.0	1.059	4	82%	0	0	0
Goodread Bookstore	431.00	579	24.0	1.059	5	97%	0	0	0
A Mind's Bookstore	437.00	1,409	30.0	1.0737	4.5	89%	0	0	0
RSONS	443.00	481	36.0	1.0885	4.5	84%	0	0	0
Bookflow	521.13	3,100	114.13	1.2804	3.5	67%	0	0	0
BooksRaja	453.00	171	46.0	1.113	4.5	85%	0	0	0
Inetrade India	456.07	3,249	49.07	1.1206	4	75%	0	0	0
SBM Enterprises	443.26	48	36.26	1.0891	4	75%	0	0	0
Book Selection Centre	449.00	136	42.0	1.1032	4.5	96%	0	0	0
ABRB	539.00	60	132.0	1.3243	4	82%	0	0	0
Randomindia	461.00	9	54.0	1.1327	3.5	67%	0	0	0
S R int Store	455.24		48.24	1.1185			0	0	0
Comma365	505.00	2,242	98.0	1.2408	4.5	95%	0	0	0
The Bookhive	479.20	43	72.2	1.1774	4	80%	0	0	0
BW ENTERPRISES	462.00	44	55.0	1.1351	4	79%	0	0	0
Suryan Books	479.00	39	72.0	1.1769	4.5	95%	0	0	0
WORDS CARE	510.00	6	103.0	1.2531	2	17%	0	0	0
Sunrise Book store	441.00	1,356	34.0	1.0835	3.5	61%	0	0	0
HERITAGE PUBLISHERS	563.00	783	156.0	1.3833	4.5	94%	0	0	0
ScribbleGraffito	491.18	29	84.18	1.2068	4.5	91%	0	0	0
V5MARK	466.00	8	59.0	1.145	4	75%	0	0	0
Booksmandi	480.00	2,530	73.0	1.1794	4.5	89%	0	0	0
Resource book store	509.00	1	102.0	1.2506	5	100%	0	0	0
Abhinav Books Store	527.12	60	120.12	1.2951	3	54%	0	0	0
NS DISTRIBUTOR	553.00	7	146.0	1.3587	4	86%	0	0	0
Winmaarc	630.00	118	223.0	1.5479	3.5	68%	0	0	0
Books-a-zillion	539.10	89	132.1	1.3246	4	82%	0	0	0
The Grand_Store	580.00	10	173.0	1.4251	3	50%	0	0	0
Browsers' Lounge	576.00	122	169.0	1.4152	4.5	96%	0	0	0
Kushii Radiance Bookshop	570.00	63	163.0	1.4005	4.5	84%	0	0	0
SansRack	599.00	1,050	192.0	1.4717	4.5	94%	0	0	0
A to Z Book House	599.00	1,275	192.0	1.4717	3	46%	0	0	0
The Bookhive	479.20	43	72.2	1.1774	4	80%	0	0	0
BW ENTERPRISES	467.00	44	60.0	1.1474	4	79%	0	0	0
Abhinav Books Store	539.10	60	132.1	1.3246	3	54%	0	0	0
Winmaarc	630.00	118	223.0	1.5479	3.5	68%	0	0	0
Ambe Books	619.52	2	212.52	1.5222	3	50%	0	0	0
Ginni Books	619.62	9	212.62	1.5224	4.5	89%	0	0	0
Special Library	665.00	57	258.0	1.6339	4	74%	0	0	0
SAI BOOKS	593.00	181	186.0	1.457	3	46%	0	0	0
