Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Inetrade India	401.88	3,253	0.0	1.0	4	75%	0	0	0
uRead-Store	477.00	25,135	75.12	1.1869	4.5	92%	1	0	0
Cloudtail India	477.00	1,299,225	75.12	1.1869	4.5	92%	1	1	1
S R int Store	455.24		53.36	1.1328			0	0	0
Atlantic Publishers and Distributors	662.00	14,538	260.12	1.6473	4.5	94%	0	0	0
Peacockbooks	717.00	2,801	315.12	1.7841	4.5	92%	0	0	0
Bookswagon	781.00	6,382	379.12	1.9434	4	70%	0	0	0
Sunrise Book store	779.00	1,358	377.12	1.9384	3.5	61%	0	0	0
B2A UK	1129.00	6,928	727.12	2.8093	4.5	83%	0	0	0
D R	1415.00	12,168	1013.12	3.521	4	82%	0	0	0
Bookswagon	781.00	6,382	379.12	1.9434	4	70%	0	0	0
etohfa	2052.00	23	1650.12	5.106	5	100%	0	0	0
