Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
World500	468.00	3,270	0.0	1.0	4	76%	0	0	0
Buy Amazing Books	489.00	3,557	21.0	1.0449	3	51%	0	0	0
Amazing_Buy	493.00	17,789	25.0	1.0534	4.5	95%	1	0	1
uRead-Store	493.00	25,145	25.0	1.0534	4.5	92%	1	0	0
PKS RETAIL	514.00	4	46.0	1.0983	5	100%	0	0	0
Capsbookz	524.00		56.0	1.1197			0	0	0
Inetrade India	477.87	3,254	9.87	1.0211	4	75%	0	0	0
AskTech Books	523.00	2	55.0	1.1175	2.5	50%	0	0	0
MK BOOKS INDIA	594.00	2,249	126.0	1.2692	2.5	34%	0	0	0
Mumbai gift corner	594.00	720	126.0	1.2692	4.5	89%	0	0	0
O_Store	524.25	593	56.25	1.1202	4.5	87%	0	0	0
Book Selection Centre	524.00	136	56.0	1.1197	4.5	96%	0	0	0
ReadAhead	629.00	213	161.0	1.344	4	79%	0	0	0
Bookflow	629.10	3,100	161.1	1.3442	3.5	68%	0	0	0
Skycart	580.00	479	112.0	1.2393	4.5	90%	0	0	0
ScribbleGraffito	580.17	29	112.17	1.2397	4.5	91%	0	0	0
HERITAGE PUBLISHERS	664.00	783	196.0	1.4188	4.5	94%	0	0	0
Sunrise Book store	542.00	1,359	74.0	1.1581	3.5	61%	0	0	0
BSK Book	659.00	160	191.0	1.4081	3.5	61%	0	0	0
fairdealenterprise	538.23	45	70.23	1.1501	2	25%	0	0	0
Amazing BookS	559.00	106	91.0	1.1944	3	54%	0	0	0
Santusti Enterprises	699.00	26	231.0	1.4936	4	81%	0	0	0
killer,sbooks	699.00	18	231.0	1.4936	5	100%	0	0	0
Book store01	679.00	14	211.0	1.4509	3.5	57%	0	0	0
Books-a-zillion	629.10	89	161.1	1.3442	4	82%	0	0	0
DARPAN	699.00	33	231.0	1.4936	4.5	85%	0	0	0
Kushii Radiance Bookshop	665.00	63	197.0	1.4209	4.5	84%	0	0	0
A to Z Book House	699.00	1,275	231.0	1.4936	3	46%	0	0	0
ROSHAN COLLECTION	778.92		310.92	1.6644			0	0	0
SAI BOOKS	692.00	181	224.0	1.4786	3	46%	0	0	0
Bookflow	629.10	3,100	161.1	1.3442	3.5	68%	0	0	0
ScribbleGraffito	580.17	29	112.17	1.2397	4.5	91%	0	0	0
B2A UK	1331.00	6,928	863.0	2.844	4.5	83%	0	0	0
