Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Trans Infopreneur Inc	298.00	218	18.0	1.0643	4.5	94%	1	0	0
Amazing_Buy	298.00	17,787	18.0	1.0643	4.5	95%	1	0	1
uRead-Store	298.00	25,135	18.0	1.0643	4.5	92%	1	0	0
aspire india	298.00	331	18.0	1.0643	4	73%	1	0	0
Bookflow	304.50	3,100	24.5	1.0875	3.5	67%	0	0	0
HERITAGE PUBLISHERS	345.00	783	65.0	1.2321	4.5	94%	0	0	0
Crossword Bookstores Ltd	280.00	2,475	0.0	1.0	4	74%	0	0	0
Book Wise Darya Ganj	350.00	1,098	70.0	1.25	4.5	89%	0	0	0
Comma365	310.00	2,242	30.0	1.1071	4.5	95%	0	0	0
Skycart	297.00	479	17.0	1.0607	4.5	90%	0	0	0
Trans Infopreneur Inc	299.00	218	19.0	1.0679	4.5	94%	0	0	0
aspire india	280.00	331	0.0	1.0	4	73%	0	0	0
Books-a-zillion	350.00	89	70.0	1.25	4	82%	0	0	0
dealstar	608.00	6,596	328.0	2.1714	4.5	85%	0	0	0
