Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
SanvirBooksWorld	492.00		14.13	1.0296			0	0	0
uRead-Store	493.00	25,135	15.13	1.0317	4.5	92%	1	0	0
Amazing_Buy	493.00	17,787	15.13	1.0317	4.5	95%	1	0	1
ABRB	515.00	60	37.13	1.0777	4	82%	0	0	0
Inetrade India	477.87	3,253	0.0	1.0	4	75%	0	0	0
RSONS	488.00	481	10.13	1.0212	4.5	84%	0	0	0
SRBOOKWORLD	575.00	404	97.13	1.2033	4.5	93%	0	0	0
Best Price_	502.00	224	24.13	1.0505	4	82%	0	0	0
Goodread Bookstore	585.00	579	107.13	1.2242	5	97%	1	0	0
AskTech Books	523.00	2	45.13	1.0944	2.5	50%	0	0	0
GBD BOOKS	520.00	232	42.13	1.0882	4	68%	0	0	0
Booknow	507.00	898	29.13	1.061	4	80%	0	0	0
Comma365	576.00	2,242	98.13	1.2053	4.5	95%	0	0	0
Bookflow	629.10	3,100	151.23	1.3165	3.5	67%	0	0	0
The Bookhive	559.20	43	81.33	1.1702	4	80%	0	0	0
BSK Book	640.00	159	162.13	1.3393	3.5	60%	0	0	0
Buy Amazing Books	650.00	3,554	172.13	1.3602	3	51%	0	0	0
Shreeganesh16	578.00	27	100.13	1.2095	4.5	83%	0	0	0
Skycart	580.00	479	102.13	1.2137	4.5	90%	0	0	0
Booksmandi	560.00	2,531	82.13	1.1719	4.5	89%	0	0	0
HERITAGE PUBLISHERS	664.00	783	186.13	1.3895	4.5	94%	0	0	0
dealstar	667.00	6,596	189.13	1.3958	4.5	85%	0	0	0
Book store01	650.00	11	172.13	1.3602	3	45%	0	0	0
CrossWord Books	643.00	116	165.13	1.3456	5	95%	0	0	0
MK BOOKS INDIA	699.00	2,247	221.13	1.4627	2.5	34%	0	0	0
S B T books	598.00	113	120.13	1.2514	4.5	88%	0	0	0
W S Retaill	645.00	34	167.13	1.3497	3.5	69%	0	0	0
Santusti Enterprises	699.00	26	221.13	1.4627	4	81%	0	0	0
Vaishno Books Store	622.11	7	144.24	1.3018	4.5	86%	0	0	0
BOOK CENTRE	632.00	862	154.13	1.3225	4	81%	0	0	0
BOOKKR	699.00	5	221.13	1.4627	3.5	60%	0	0	0
Browsers' Lounge	666.00	122	188.13	1.3937	4.5	96%	0	0	0
VNSstores	650.00	33	172.13	1.3602	3.5	61%	0	0	0
Books-a-zillion	650.00	89	172.13	1.3602	4	82%	0	0	0
A to Z Book House	699.00	1,275	221.13	1.4627	3	46%	0	0	0
Ambe Books	705.70	2	227.83	1.4768	3	50%	0	0	0
Ginni Books	705.70	9	227.83	1.4768	4.5	89%	0	0	0
PKS RETAIL	871.00	4	393.13	1.8227	5	100%	0	0	0
JustBuyBooks	1290.00	26	812.13	2.6995	3.5	69%	0	0	0
etohfa	2267.00	23	1789.13	4.744	5	100%	0	0	0
CrossWord Books	643.00	116	165.13	1.3456	5	95%	0	0	0
S B T books	650.00	113	172.13	1.3602	4.5	88%	0	0	0
Books-a-zillion	650.00	89	172.13	1.3602	4	82%	0	0	0
etohfa	2304.00	23	1826.13	4.8214	5	100%	0	0	0
