Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	322.00	1,299,239	72.0	1.288	4.5	92%	1	1	1
uRead-Store	322.00	25,138	72.0	1.288	4.5	92%	1	0	0
BOOK CENTRE	250.00	862	0.0	1.0	4	81%	0	0	0
Buy Amazing Books	349.00	3,555	99.0	1.396	3	51%	0	0	0
Crossword Bookstores Ltd	399.00	2,475	149.0	1.596	4	74%	0	0	0
GBD BOOKS	399.00	232	149.0	1.596	4	68%	0	0	0
#BooksStore	409.00	6	159.0	1.636	5	100%	0	0	0
BW ENTERPRISES	399.00	44	149.0	1.596	4	79%	0	0	0
Booksmandi	400.00	2,531	150.0	1.6	4.5	89%	0	0	0
CNA Bookstore	400.00	477	150.0	1.6	4.5	95%	0	0	0
DilliDukan	458.00	5	208.0	1.832	5	100%	0	0	0
The Grand_Store	490.00	10	240.0	1.96	3	50%	0	0	0
SansRack	499.00	1,050	249.0	1.996	4.5	94%	0	0	0
Books-a-zillion	499.00	89	249.0	1.996	4	82%	0	0	0
