Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Amazing_Buy	419.00	17,785	0.0	1.0	4.5	95%	1	0	1
Read factor	461.00	1,518	42.0	1.1002	3.5	67%	0	0	0
World500	475.00	3,249	56.0	1.1337	4	76%	0	0	0
Capsbookz	524.00		105.0	1.2506			0	0	0
uRead-Store	550.00	25,132	131.0	1.3126	4.5	92%	1	0	0
Inetrade India	477.87	3,252	58.87	1.1405	4	75%	0	0	0
dealstar	565.00	6,596	146.0	1.3484	4.5	85%	0	0	0
AskTech Books	523.00	2	104.0	1.2482	2.5	50%	0	0	0
MK BOOKS INDIA	594.00	2,247	175.0	1.4177	2.5	34%	0	0	0
Bookflow	622.11	3,100	203.11	1.4847	3.5	67%	0	0	0
ReadAhead	629.00	213	210.0	1.5012	4	79%	0	0	0
BSK Book	659.00	159	240.0	1.5728	3.5	60%	0	0	0
ScribbleGraffito	580.17	29	161.17	1.3847	4.5	91%	0	0	0
Mumbai gift corner	664.00	718	245.0	1.5847	4.5	89%	0	0	0
HERITAGE PUBLISHERS	664.00	783	245.0	1.5847	4.5	94%	0	0	0
fairdealenterprise	538.23	41	119.23	1.2846	2.5	34%	0	0	0
CrossWord Books	643.00	116	224.0	1.5346	5	95%	0	0	0
Shreeganesh16	623.00	27	204.0	1.4869	4.5	83%	0	0	0
Buy Amazing Books	699.00	3,537	280.0	1.6683	3	51%	0	0	0
killer,sbooks	699.00	18	280.0	1.6683	5	100%	0	0	0
Book store01	679.00	11	260.0	1.6205	3	45%	0	0	0
Starmark	629.10	2,139	210.1	1.5014	3.5	68%	0	0	0
BookInc	651.00	17	232.0	1.5537	4.5	94%	0	0	0
BOOKKR	699.00	5	280.0	1.6683	3.5	60%	0	0	0
A to Z Book House	699.00	1,275	280.0	1.6683	3	46%	0	0	0
Ginni Books	705.70	9	286.7	1.6842	4.5	89%	0	0	0
S B T books	645.00	113	226.0	1.5394	4.5	88%	0	0	0
W S Retaill	645.00	34	226.0	1.5394	3.5	69%	0	0	0
Ambe Books	705.70	2	286.7	1.6842	3	50%	0	0	0
SN Square	769.00	59	350.0	1.8353	4	75%	0	0	0
Bookflow	629.10	3,100	210.1	1.5014	3.5	67%	0	0	0
CrossWord Books	643.00	116	224.0	1.5346	5	95%	0	0	0
Bookswagon	985.00	6,377	566.0	2.3508	4	70%	0	0	0
Bookswagon	926.00	6,377	507.0	2.21	4	70%	0	0	0
PKS RETAIL	1027.00	4	608.0	2.4511	5	100%	0	0	0
B2A UK	1314.00	6,928	895.0	3.136	4.5	83%	0	0	0
Sunrise Book store	1139.00	1,356	720.0	2.7184	3.5	61%	0	0	0
