Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cloudtail India	251.00	1,299,168	0.0	1.0	4.5	92%	1	1	1
uRead-Store	251.00	25,131	0.0	1.0	4.5	92%	1	0	0
Read factor	263.00	1,518	12.0	1.0478	3.5	67%	0	0	0
Buy Amazing Books	271.00	3,536	20.0	1.0797	3	51%	0	0	0
Amazing_Buy	279.00	17,783	28.0	1.1116	4.5	95%	1	0	0
ApnaBazzar	286.82	49	35.82	1.1427	3.5	63%	0	0	0
The Browser Bookstore	330.00	37	79.0	1.3147	3.5	69%	0	0	0
Inetrade India	261.07	3,251	10.07	1.0401	4	75%	0	0	0
R-our Book	299.00	1,304	48.0	1.1912	4	78%	0	0	0
FOUNTAINHEAD	287.00	98	36.0	1.1434	4.5	91%	0	0	0
Sri Ganesha Books	287.00	382	36.0	1.1434	4	82%	0	0	0
Bookswagon	304.00	6,377	53.0	1.2112	4	70%	0	0	0
Goodread Bookstore	291.00	579	40.0	1.1594	5	97%	0	0	0
HERITAGE PUBLISHERS	375.00	783	124.0	1.494	4.5	94%	0	0	0
MONOBO BOOKS	291.00	117	40.0	1.1594	4.5	86%	0	0	0
Comma365	344.00	2,242	93.0	1.3705	4.5	95%	0	0	0
BSK Book	389.00	159	138.0	1.5498	3.5	60%	0	0	0
SBM Enterprises	299.25	48	48.25	1.1922	4	75%	0	0	0
S R int Store	303.24		52.24	1.2081			0	0	0
The Bookhive	319.20	43	68.2	1.2717	4	80%	0	0	0
Suryan Books	319.00	39	68.0	1.2709	4.5	95%	0	0	0
Book store01	369.00	11	118.0	1.4701	3	45%	0	0	0
MK BOOKS INDIA	399.00	2,247	148.0	1.5896	2.5	34%	0	0	0
V5MARK	302.00	8	51.0	1.2032	4	75%	0	0	0
Winmaarc	410.00	118	159.0	1.6335	3.5	68%	0	0	0
Abhinav Books Store	351.12	60	100.12	1.3989	3	54%	0	0	0
W S Retaill	368.00	34	117.0	1.4661	3.5	69%	0	0	0
Booknow	311.00	898	60.0	1.239	4	80%	0	0	0
Resource book store	339.00	1	88.0	1.3506	5	100%	0	0	0
Wish Your Book	347.13		96.13	1.383			0	0	0
The Grand_Store	399.00	10	148.0	1.5896	3	50%	0	0	0
BookAdda	355.00	365	104.0	1.4143	3	47%	0	0	0
BOOKKR	399.00	5	148.0	1.5896	3.5	60%	0	0	0
Booksmandi	336.00	2,530	85.0	1.3386	4.5	89%	0	0	0
Shreeganesh16	369.00	27	118.0	1.4701	4.5	83%	0	0	0
Browsers' Lounge	387.00	122	136.0	1.5418	4.5	96%	0	0	0
Books-a-zillion	359.10	89	108.1	1.4307	4	82%	0	0	0
amazingbuy_	399.00	1	148.0	1.5896	5	100%	0	0	0
A to Z Book House	399.00	1,275	148.0	1.5896	3	46%	0	0	0
ASIA BOOK POINT	399.00	20	148.0	1.5896	3.5	60%	0	0	0
The Bookhive	319.20	43	68.2	1.2717	4	80%	0	0	0
BSK Book	399.00	159	148.0	1.5896	3.5	60%	0	0	0
W S Retaill	368.00	34	117.0	1.4661	3.5	69%	0	0	0
Abhinav Books Store	359.10	60	108.1	1.4307	3	54%	0	0	0
BOOKKR	399.00	5	148.0	1.5896	3.5	60%	0	0	0
mansion books	495.00	86	244.0	1.9721	4.5	84%	0	0	0
SAI BOOKS	395.00	181	144.0	1.5737	3	46%	0	0	0
Ambe Books	818.32	2	567.32	3.2602	3	50%	0	0	0
Ginni Books	818.42	9	567.42	3.2606	4.5	89%	0	0	0
