Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
SanvirBooksWorld	394.00		30.0	1.0824			0	0	0
Read factor	395.00	1,517	31.0	1.0852	3.5	67%	0	0	0
World500	407.00	3,248	43.0	1.1181	4	76%	0	0	0
Amazing_Buy	415.00	17,783	51.0	1.1401	4.5	95%	1	0	1
uRead-Store	415.00	25,131	51.0	1.1401	4.5	92%	1	0	0
Rk & company	364.00	36	0.0	1.0	3.5	65%	0	0	0
SSDN Creation	395.00	7	31.0	1.0852	3.5	71%	0	0	0
Shri Krishna book’s	407.00		43.0	1.1181			0	0	0
ReadAhead	449.00	213	85.0	1.2335	4	79%	0	0	0
Inetrade India	391.89	3,250	27.89	1.0766	4	75%	0	0	0
aspire india	399.00	331	35.0	1.0962	4	73%	0	0	0
THE KNOWLEDGE WAREHOUSE	385.00	42	21.0	1.0577	4	67%	0	0	0
Booknow	389.00	898	25.0	1.0687	4	80%	0	0	0
Buy Amazing Books	499.00	3,536	135.0	1.3709	3	51%	0	0	0
Buy24*7	499.00	19	135.0	1.3709	4.5	89%	0	0	0
MK BOOKS INDIA	509.00	2,247	145.0	1.3984	2.5	34%	0	0	0
Sri Ganesha Books	431.00	382	67.0	1.1841	4	82%	0	0	0
FOUNTAINHEAD	431.00	98	67.0	1.1841	4.5	91%	0	0	0
A Mind's Bookstore	437.00	1,409	73.0	1.2005	4.5	89%	0	0	0
MONOBO BOOKS	437.00	117	73.0	1.2005	4.5	86%	0	0	0
Shreeganesh16	449.00	27	85.0	1.2335	4.5	83%	0	0	0
SBM Enterprises	443.26	48	79.26	1.2177	4	75%	0	0	0
Bookflow	539.10	3,100	175.1	1.481	3.5	67%	0	0	0
Comma365	505.00	2,242	141.0	1.3874	4.5	95%	0	0	0
fairdealenterprise	449.25	41	85.25	1.2342	2.5	34%	0	0	0
W S Retaill	553.00	34	189.0	1.5192	3.5	69%	0	0	0
S B T books	554.00	113	190.0	1.522	4.5	88%	0	0	0
The Bookhive	479.20	43	115.2	1.3165	4	80%	0	0	0
Browsers' Lounge	479.20	122	115.2	1.3165	4.5	96%	0	0	0
BW ENTERPRISES	467.00	44	103.0	1.283	4	79%	0	0	0
BSK Book	564.00	159	200.0	1.5495	3.5	60%	0	0	0
Skycart	500.00	479	136.0	1.3736	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	133.17	1.3659	4.5	91%	0	0	0
Booksmandi	480.00	2,530	116.0	1.3187	4.5	89%	0	0	0
Suraj Trading - Express Delivery	487.00	48	123.0	1.3379	3	53%	0	0	0
Santusti Enterprises	599.00	26	235.0	1.6456	4	81%	0	0	0
CrossWord Books	551.00	116	187.0	1.5137	5	95%	0	0	0
Book store01	579.00	11	215.0	1.5907	3	45%	0	0	0
BookInc	540.00	17	176.0	1.4835	4.5	94%	0	0	0
BOOKKR	599.00	5	235.0	1.6456	3.5	60%	0	0	0
aspire india	499.00	331	135.0	1.3709	4	73%	1	0	0
ReadAhead	539.00	213	175.0	1.4808	4	79%	0	0	0
Bookflow	539.10	3,100	175.1	1.481	3.5	67%	0	0	0
A to Z Book House	599.00	1,275	235.0	1.6456	3	46%	0	0	0
famous_Books	699.00	3	335.0	1.9203	5	100%	0	0	0
amazingbuy_	699.00	1	335.0	1.9203	5	100%	0	0	0
Bookswagon	839.00	6,377	475.0	2.3049	4	70%	0	0	0
Star Books Co	786.00	3	422.0	2.1593	3.5	67%	0	0	0
Sunrise Book store	877.00	1,356	513.0	2.4093	3.5	61%	0	0	0
B2A UK	1151.00	6,928	787.0	3.1621	4.5	83%	0	0	0
W S Retaill	553.00	34	189.0	1.5192	3.5	69%	0	0	0
S B T books	557.00	113	193.0	1.5302	4.5	88%	0	0	0
BSK Book	564.00	159	200.0	1.5495	3.5	60%	0	0	0
CrossWord Books	551.00	116	187.0	1.5137	5	95%	0	0	0
BookInc	540.00	17	176.0	1.4835	4.5	94%	0	0	0
BOOKKR	599.00	5	235.0	1.6456	3.5	60%	0	0	0
