Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
JustBuyBooks	853.00	27	0.0	1.0	3.5	70%	0	0	0
Bookswagon	900.00	6,390	47.0	1.0551	4	70%	0	0	1
Atlantic Publishers and Distributors	889.00	14,542	36.0	1.0422	4.5	94%	0	0	0
Peacockbooks	944.00	2,803	91.0	1.1067	4.5	92%	0	0	0
Sunrise Book store	895.00	1,360	42.0	1.0492	3.5	61%	0	0	0
Bookswagon	1134.00	6,390	281.0	1.3294	4	70%	0	0	1
Atlantic Publishers and Distributors	1176.00	14,542	323.0	1.3787	4.5	94%	0	0	0
INFINITE BOOKS	1470.75	291	617.75	1.7242	5	99%	0	0	0
D R	1597.00	12,168	744.0	1.8722	4	82%	0	0	0
D R	2182.00	12,168	1329.0	2.558	4	82%	0	0	0
Sunrise Book store	989.00	1,360	136.0	1.1594	3.5	61%	0	0	0
Bookswagon	1227.00	6,390	374.0	1.4385	4	70%	0	0	1
Sunrise Book store	1306.00	1,360	453.0	1.5311	3.5	61%	0	0	0
Sunrise Book store	1201.00	1,360	348.0	1.408	3.5	61%	0	0	0
