Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	395.00	1,516	0.0	1.0	3.5	67%	0	0	0
World500	401.00	3,248	6.0	1.0152	4	76%	0	0	0
Buy Amazing Books	419.00	3,536	24.0	1.0608	3	51%	0	0	0
Amazing_Buy	426.00	17,778	31.0	1.0785	4.5	95%	1	0	1
uRead-Store	426.00	25,123	31.0	1.0785	4.5	92%	1	0	0
PKS RETAIL	426.00	4	31.0	1.0785	5	100%	0	0	0
Trans Infopreneur Inc	438.00	217	43.0	1.1089	4.5	94%	1	0	0
VEKBook	449.00		54.0	1.1367			0	0	0
ALTBOOKS	449.00		54.0	1.1367			0	0	0
MK BOOKS INDIA	509.00	2,245	114.0	1.2886	2.5	34%	0	0	0
O_Store	431.28	593	36.28	1.0918	4.5	87%	0	0	0
A Mind's Bookstore	437.00	1,409	42.0	1.1063	4.5	89%	0	0	0
AskTech Books	451.00	2	56.0	1.1418	2.5	50%	0	0	0
Mumbai gift corner	519.00	717	124.0	1.3139	4.5	90%	0	0	0
Bookflow	521.13	3,100	126.13	1.3193	3.5	68%	0	0	0
Inetrade India	456.07	3,249	61.07	1.1546	4	75%	0	0	0
Goodread Bookstore	539.00	578	144.0	1.3646	5	97%	1	0	0
Book Selection Centre	449.00	136	54.0	1.1367	4.5	96%	0	0	0
Comma365	505.00	2,242	110.0	1.2785	4.5	95%	0	0	0
The Bookhive	479.20	43	84.2	1.2132	4	80%	0	0	0
BW ENTERPRISES	467.00	44	72.0	1.1823	4	79%	0	0	0
BSK Book	564.00	159	169.0	1.4278	3.5	60%	0	0	0
HERITAGE PUBLISHERS	569.00	783	174.0	1.4405	4.5	94%	0	0	0
Rama BOOKS	467.22	6	72.22	1.1828	3.5	67%	0	0	0
fairdealenterprise	461.23	41	66.23	1.1677	2.5	34%	0	0	0
S B T books	553.00	113	158.0	1.4	4.5	88%	0	0	0
W S Retaill	553.00	34	158.0	1.4	3.5	69%	0	0	0
Skycart	500.00	479	105.0	1.2658	4.5	90%	0	0	0
ScribbleGraffito	497.17	29	102.17	1.2587	4.5	91%	0	0	0
Sunrise Book store	458.00	1,356	63.0	1.1595	3.5	61%	0	0	0
Booksmandi	480.00	2,530	85.0	1.2152	4.5	89%	0	0	0
Browsers' Lounge	509.15	122	114.15	1.289	4.5	96%	0	0	0
Book store01	579.00	11	184.0	1.4658	3	45%	0	0	0
MEETA BOOKS	539.00	47	144.0	1.3646	2.5	36%	0	0	0
BOOKKR	599.00	5	204.0	1.5165	3.5	60%	0	0	0
Books-a-zillion	539.10	89	144.1	1.3648	4	82%	0	0	0
Kushii Radiance Bookshop	570.00	63	175.0	1.443	4.5	84%	0	0	0
A to Z Book House	599.00	1,275	204.0	1.5165	3	46%	0	0	0
Ginni Books	619.55	9	224.55	1.5685	4.5	89%	0	0	0
Ambe Books	619.55	2	224.55	1.5685	3	50%	0	0	0
Trans Infopreneur Inc	439.00	217	44.0	1.1114	4.5	94%	0	0	0
Bookflow	539.10	3,100	144.1	1.3648	3.5	68%	0	0	0
ROSHAN COLLECTION	670.92		275.92	1.6985			0	0	0
SAI BOOKS	593.00	181	198.0	1.5013	3	47%	0	0	0
