Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Lot Book	896.00	177	36.0	1.0419	4.5	88%	0	0	0
iTippi Book	860.00	108	0.0	1.0	4.5	91%	0	0	0
Cloudtail India	1078.00	1,299,285	218.0	1.2535	4.5	92%	1	1	1
Atlantic Publishers and Distributors	1341.00	14,540	481.0	1.5593	4.5	94%	0	0	0
Bookswagon	1312.00	6,387	452.0	1.5256	4	70%	0	0	0
Sunrise Book store	1228.00	1,359	368.0	1.4279	3.5	61%	0	0	0
Retail Maharaj	1456.00	513	596.0	1.693	5	98%	0	0	0
Peacockbooks	1488.00	2,801	628.0	1.7302	4.5	92%	0	0	0
Fast Media 2	1915.69	6,006	1055.69	2.2275	4	72%	0	0	0
D R	2562.00	12,169	1702.0	2.9791	4	82%	0	0	0
Sunrise Book store	1516.00	1,359	656.0	1.7628	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1416.00	14,540	556.0	1.6465	4.5	94%	0	0	0
Sunrise Book store	1498.00	1,359	638.0	1.7419	3.5	61%	0	0	0
etohfa	3304.00	23	2444.0	3.8419	5	100%	0	0	0
