Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Read factor	329.00	1,518	2.52	1.0077	3.5	67%	0	0	0
World500	339.00	3,248	12.52	1.0383	4	76%	0	0	0
uRead-Store	401.48	25,132	75.0	1.2297	4.5	92%	1	0	1
Inetrade India	326.48	3,252	0.0	1.0	4	75%	0	0	0
Mumbai gift corner	429.00	717	102.52	1.314	4.5	90%	0	0	0
MONOBO BOOKS	364.00	117	37.52	1.1149	4.5	86%	0	0	0
Books For All	479.00	314	152.52	1.4672	4	81%	1	0	0
Book store01	459.00	11	132.52	1.4059	3	45%	0	0	0
BSK Book	499.00	159	172.52	1.5284	3.5	60%	0	0	0
Buy Amazing Books	499.00	3,536	172.52	1.5284	3	51%	0	0	0
MK BOOKS INDIA	499.00	2,247	172.52	1.5284	2.5	34%	0	0	0
CrossWord Books	459.00	116	132.52	1.4059	5	95%	0	0	0
Shreeganesh16	444.00	27	117.52	1.36	4.5	83%	0	0	0
BookInc	450.00	17	123.52	1.3783	4.5	94%	0	0	0
BOOKKR	499.00	5	172.52	1.5284	3.5	60%	0	0	0
A to Z Book House	499.00	1,275	172.52	1.5284	3	46%	0	0	0
S B T books	462.00	113	135.52	1.4151	4.5	88%	0	0	0
W S Retaill	461.00	34	134.52	1.412	3.5	69%	0	0	0
B2A UK	1308.00	6,928	981.52	4.0064	4.5	83%	0	0	0
