Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	290.00	56		0.0	1.0	4.5	90%	1	0	1	2020-07-28 22:13:51.443548
Cloudtail India	299.00			9.0	1.031	4.5	90%	1	1	0	2020-07-28 22:13:51.443548
Desert Retail	299.00	28		9.0	1.031	4	79%	0	0	0	2020-07-28 22:13:51.443548
BAGS KART	320.00	79		30.0	1.1034	4.5	92%	1	0	0	2020-07-28 22:13:51.443548
Festivals	359.00			69.0	1.2379	3.5	60%	1	0	0	2020-07-28 22:13:51.443548
INDIA'S BEST COMPETITIVE PRICES	299.00	34	10-12 days	9.0	1.031	2.5	35%	0	0	0	2020-07-28 22:13:51.443548
Easy Home Deals	449.00	324		159.0	1.5483	4	79%	1	0	0	2020-07-28 22:13:51.443548
Big Bazaar	475.00			185.0	1.6379	3.5	58%	1	0	0	2020-07-28 22:13:51.443548
LVDV	599.00	19	10-12 days	309.0	2.0655	4	73%	0	0	0	2020-07-28 22:13:51.443548
Sumraj India Udyog	699.00	1	3-7 days	409.0	2.4103	5	100%	0	0	0	2020-07-28 22:13:51.443548
