Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
RS ENTERPRISES	1048.00	20		0.0	1.0	4	80%	1	0	0	2020-08-26 21:20:06.951939
Catchy Bags	1049.00	124		1.0	1.001	4.5	94%	1	0	1	2020-08-26 21:20:06.951939
E-Shop Retail	1199.00	84		151.0	1.1441	4.5	88%	1	0	0	2020-08-26 21:20:06.951939
Earth industries	1229.00	30	6-7 days	181.0	1.1727	3	42%	0	0	0	2020-08-26 21:20:06.951939
JKM ENTERPRISES INDIA	1266.00	4	6-7 days	218.0	1.208	3.5	75%	0	0	0	2020-08-26 21:20:06.951939
EVAN	1270.00			222.0	1.2118	4.5	94%	1	0	0	2020-08-26 21:20:06.951939
TODAY'S DEAL	1397.00			349.0	1.333	4	79%	1	0	0	2020-08-26 21:20:06.951939
DEALS AMAZING	1397.00			349.0	1.333	4	77%	1	0	0	2020-08-26 21:20:06.951939
Safari's luggage world	1918.00	27	6-7 days	870.0	1.8302	4	74%	0	0	0	2020-08-26 21:20:06.951939
gsienterprises	1918.00	6	6-7 days	870.0	1.8302	3	50%	0	0	0	2020-08-26 21:20:06.951939
The Skool Shoppe	1918.00		6-8 days	870.0	1.8302			0	0	0	2020-08-26 21:20:06.951939
