Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1025.00	80		0.0	1.0	4.5	85%	1	0	1	2020-07-30 15:08:29.149178
TODAY'S DEAL	1028.00			3.0	1.0029	4	80%	1	0	0	2020-07-30 15:08:29.149178
AnandEnterprisesForU	1028.00	11		3.0	1.0029	3.5	73%	1	0	0	2020-07-30 15:08:29.149178
DEALS AMAZING	1028.00			3.0	1.0029	4	80%	1	0	0	2020-07-30 15:08:29.149178
RS ENTERPRISES	1028.00	18		3.0	1.0029	4	78%	1	0	0	2020-07-30 15:08:29.149178
Earth industries	1048.00	29		23.0	1.0224	3	44%	1	0	0	2020-07-30 15:08:29.149178
A Bags world	1059.50	62		34.5	1.0337	3.5	69%	1	0	0	2020-07-30 15:08:29.149178
BAGS HI BAG	1063.00	72		38.0	1.0371	3.5	69%	1	0	0	2020-07-30 15:08:29.149178
THE CONNECT	1066.00	8	10-11 days	41.0	1.04	4	75%	0	0	0	2020-07-30 15:08:29.149178
E-TECH RETAIL	1099.00	1	10-12 days	74.0	1.0722	5	100%	0	0	0	2020-07-30 15:08:29.149178
cloudind	1130.00			105.0	1.1024	4.5	90%	0	0	0	2020-07-30 15:08:29.149178
Standard enterprise	1247.00	1	13-17 days	222.0	1.2166	4	100%	0	0	0	2020-07-30 15:08:29.149178
Viva Bags	1249.00	8	7-8 days	224.0	1.2185	4	75%	0	0	0	2020-07-30 15:08:29.149178
BagStop	1175.00	58	12-13 days	150.0	1.1463	3.5	57%	0	0	0	2020-07-30 15:08:29.149178
Backpack World	1290.00		8-10 days	265.0	1.2585	4	83%	0	0	0	2020-07-30 15:08:29.149178
Deepsum Bags	1900.00	4	7-8 days	875.0	1.8537	5	100%	0	0	0	2020-07-30 15:08:29.149178
gsienterprises	1918.00	6	7-10 days	893.0	1.8712	3	50%	0	0	0	2020-07-30 15:08:29.149178
