Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	849.00			0.0	1.0	4.5	89%	1	1	1	2020-09-06 04:39:45.427937
CS RETAIL	1418.00	73	9-14 days	569.0	1.6702	3	48%	0	0	0	2020-09-06 04:39:45.427937
