Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
D-Cart	2125.00	169		0.0	1.0	4	81%	1	0	1	2020-09-06 04:39:45.427937
Click At Luggage	2125.00	714		0.0	1.0	4.5	95%	1	0	0	2020-09-06 04:39:45.427937
BoxWish	2125.00			0.0	1.0	4	85%	1	0	0	2020-09-06 04:39:45.427937
SuperNV *****	2195.00	25		70.0	1.0329	3.5	67%	1	0	0	2020-09-06 04:39:45.427937
DEALS AMAZING	2273.00			148.0	1.0696	4	78%	1	0	0	2020-09-06 04:39:45.427937
World Market	2289.00	44		164.0	1.0772	4.5	93%	1	0	0	2020-09-06 04:39:45.427937
CLOUD STATION	2295.00	128		170.0	1.08	4	74%	1	0	0	2020-09-06 04:39:45.427937
Verizoni LLC	2363.00			238.0	1.112	4	73%	1	0	0	2020-09-06 04:39:45.427937
BAG STREETS	2723.00	388		598.0	1.2814	4.5	91%	1	0	0	2020-09-06 04:39:45.427937
TODAY'S DEAL	2740.00			615.0	1.2894	4	79%	1	0	0	2020-09-06 04:39:45.427937
Verizoni LLC	2363.00		4-5 days	238.0	1.112	4	73%	0	0	0	2020-09-06 04:39:45.427937
Stonehenge Retail	2799.00	213		674.0	1.3172	4	82%	1	0	0	2020-09-06 04:39:45.427937
PINNACLE RETAIL	2849.00	11	7-10 days	724.0	1.3407	3.5	73%	0	0	0	2020-09-06 04:39:45.427937
Be Fit 12013	2834.00	33	7-10 days	709.0	1.3336	3.5	61%	0	0	0	2020-09-06 04:39:45.427937
