Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	1049.00	70		0.0	1.0	4	82%	1	0	1	2020-08-01 08:04:39.333636
Rastogi Bag House	1059.00	19	11-15 days	10.0	1.0095	4	74%	0	0	0	2020-08-01 08:04:39.333636
Cloudtail India	1099.00			50.0	1.0477	4.5	89%	1	1	0	2020-08-01 08:04:39.333636
Shantam International	1405.00	6		356.0	1.3394	4	83%	0	0	0	2020-08-01 08:04:39.333636
Timex Avtansh	1549.00	2		500.0	1.4766	5	100%	1	0	0	2020-08-01 08:04:39.333636
Discount Junction	1549.00	417		500.0	1.4766	3.5	61%	0	0	0	2020-08-01 08:04:39.333636
Timex Avtansh	1549.00	2		500.0	1.4766	5	100%	0	0	0	2020-08-01 08:04:39.333636
