Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Earth industries	1154.00	29		14.0	1.0123	3	44%	1	0	1	2020-08-01 20:06:56.799803
JKM ENTERPRISES INDIA	1178.00	3	8-9 days	38.0	1.0333	3.5	67%	0	0	0	2020-08-01 20:06:56.799803
E-TECH RETAIL	1179.00	1	9-11 days	39.0	1.0342	5	100%	0	0	0	2020-08-01 20:06:56.799803
Balaji E	1228.00	34		88.0	1.0772	4	76%	1	0	0	2020-08-01 20:06:56.799803
BagStop	1140.00	58	11-15 days	0.0	1.0	3.5	57%	0	0	0	2020-08-01 20:06:56.799803
DEALS AMAZING	1264.00			124.0	1.1088	4	80%	1	0	0	2020-08-01 20:06:56.799803
INDIA Trending	1675.00	1		535.0	1.4693	5	100%	1	0	0	2020-08-01 20:06:56.799803
BagStop	1230.00	58	11-15 days	90.0	1.0789	3.5	57%	0	0	0	2020-08-01 20:06:56.799803
INDIA Trending	1675.00	1		535.0	1.4693	5	100%	1	0	0	2020-08-01 20:06:56.799803
