Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Digitaly yours	1436.00	36	9-10 days	0.0	1.0	3	53%	0	0	0	2020-07-24 23:19:10.371846
Earth industries	1454.00	29		18.0	1.0125	3	44%	1	0	1	2020-07-24 23:19:10.371846
E-Shop Retail	1500.00	80		64.0	1.0446	4.5	85%	1	0	0	2020-07-24 23:19:10.371846
Desert Retail	1596.00	28		160.0	1.1114	4	79%	0	0	0	2020-07-24 23:19:10.371846
E-TECH RETAIL	1599.00	1	13-14 days	163.0	1.1135	5	100%	0	0	0	2020-07-24 23:19:10.371846
Backpack World	1650.00		6-9 days	214.0	1.149	4.5	89%	0	0	0	2020-07-24 23:19:10.371846
Nasher Miles Private Limited	1699.00			263.0	1.1831	5	97%	1	0	0	2020-07-24 23:19:10.371846
Net Distribution Services Pvt Ltd	1700.00	777		264.0	1.1838	4.5	86%	1	0	0	2020-07-24 23:19:10.371846
LAHAR SELECTION	1999.00		10-11 days	563.0	1.3921			0	0	0	2020-07-24 23:19:10.371846
The Skool Shoppe	2080.00		13-14 days	644.0	1.4485			0	0	0	2020-07-24 23:19:10.371846
