Seller	No. of times it competes for buybox	No. of times it wins the buybox
S S ENTERPRISES (INDIA) NOVEL SELLER	1	0
ZIOKART	1	1
BANYAN TREE A BOOK SHOP	1	0
Total Kannada	1	0
books harbor	1	0
Vbookmart	1	0
Research Books In	1	0
Goel book	1	0
ST Books	2	0
AhaGuru Education Technology Pvt Ltd	2	0
LOXDON NATURAL BUTTERFLY	1	0
DDPLSHOP	1	0
amitinterprises	3	0
Softzone Technology	1	0
Mohit Shoppe	1	0
Divyanshi Enterprises 1	1	0
SUDHARSAN	1	0
HINDI KITAB	2	0
anashmika book world	2	0
trend tail	1	0
Aakar Books	1	1
Jiffikart	3	0
Universa.l Books Zone	2	0
S.R Publications	1	1
BOOK BAZAR.	1	1
Tapasya Book Store	1	0
GOPU TRADERS	1	0
QWELLBOOKS	1	0
Vidya Books Publishers	1	0
Indus Marketing	2	0
C2BENTERPRISES	1	0
bharatonlineenterprises	2	0
mstradershyd	2	0
RoshanBooks	1	0
S D Medical Book Centre	1	0
Youth-Gallery	2	0
VR Collection	1	0
Sasta Book Store	2	0
Books.Hub	3	1
The Great Book Store	2	0
V P Books	3	0
Garg's Books	6	0
STUDENT BOOK KART	1	0
Sri Durga book center	1	0
NEOTI SALES & SERVICES	2	0
People's Book Stall, JORHAT	1	0
Rockwell Enterprises - Free Shipping	1	0
Bookit books	1	1
Globe Hope	1	0
My star india	1	0
Shree Ganesh Book Depot.	1	0
Ashok Book Centre	1	0
Roy Book Shop	1	0
NG Group	2	0
YS Books International	1	0
Book Heaven1	2	0
EASY PICKS	3	0
SANJAY PRAKASHAN	1	0
Robin book	2	0
patel books	1	0
SOMAVANSHI COMMERCIAL CORPORATION	1	0
NMBD	1	0
WE2	2	0
Book Bank Store.	0	1
Siddharth Global Traders	2	0
Radiant Book Service	1	0
Jkm book house	1	0
Goel dental	1	0
Save Earth Books	2	0
India Books Distributor	2	1
Cover 2 Cover Bookstore	1	0
Riddhima Book Center	1	0
Book's Mart	4	0
Grow And More Books Store	2	0
Jai sai books store	2	0
M.G. Books 9945944236	5	0
Vidyarthi Book Depot	1	0
Tamizhveli	2	0
Bookspots	1	0
MH ENTERPRISES SELLER	3	0
WeCan Shopping	2	0
PRS Tech Ventures	1	0
MARINA BOOKS	1	0
HedonicBooks	1	1
Fruso	1	0
TomBooks	2	0
URMILA BOOK DISTRIBUTORS	2	1
Sampoorna Books	1	0
Connect Readers	6	0
NISU STORE	2	0
Knowledge Partners	1	0
SWAT INNOVATIONS	1	0
oldbooks store	1	0
NewCrazyOffer	1	0
Book Maker.	0	1
TextbooksHub	1	0
DHRUV BOOKS	1	0
ABS Books	1	0
WB Book-Store	1	0
Neha's Book Store	1	0
THE OVERSEAS BOOK'S HOUSE	1	0
Neha's Book Store.	0	1
We sell Happiness	1	0
WM Retail	1	0
Tomb	2	0
Aghi Book House	1	0
Sai Sowmiya Books	1	0
iBooks	1	0
BOOKS ON WHEELS	1	0
Ahmedabad Trunk	1	0
BASIC BOOK	1	0
srezstore	1	0
Iconic Deals	1	0
srezstore.	0	1
Shop Pagee	1	0
Soni books world	1	0
Vishwaa Books land	1	0
NABSKARST	1	0
RADHEY BOOK STORE	1	0
.U.S Selling	1	0
Peach Imports	2	0
FA Book Center	1	0
rc book sellers	1	0
AHINSA ENTERPRISES	1	0
The shiv book store	1	0
KYISH BOOKS	1	0
JANTA THE BOOKSHOP, DELHI	1	0
GVS	1	0
Eduwrite	1	0
Grover Book & Stationery Co.	5	0
GeetBooks	1	0
Nainabooks	2	0
APub	1	0
TECHNO WORLD BOOK STORE	1	0
sarkariresultall	2	0
Astha Prakashan	0	1
UBS_KOL	1	0
english and american book centre	1	0
Onwbookstore	1	0
GTMCloudtech	1	0
Gunakarthi	1	0
Khunteji store	1	0
Hindava Enterprise	1	0
WISEDUK	1	0
Popular book store.	2	0
kala indore onilne markit	1	0
BookSphere.	1	0
SAS Computing	1	0
All in one books store	1	0
bibliophiler	1	0
Best&Less	2	0
vaishnotraders	1	0
Yadav Stationery	1	0
Kapil book store	1	0
Tamna Fashion	1	0
Sainath shelar store	1	0
ZAYAN BOOK SHOP	1	0
PAHAL CLASSES	1	0
Bookzlife	1	0
PBD Online	1	1
Sri Book World	1	0
USEFUL BOOK SERVICE	1	0
online book shop	1	0
Rudras books	3	0
bestpricebazaar	1	0
Shabd World	1	0
OM SAI RAM BOOK AGENCY	1	0
ilandlo Services Pvt Ltd	1	0
Kamath book house	1	0
Capital book centre	1	0
G R S Book Shop	1	0
Lakshya Book	1	0
Naaz book palace	1	0
Bharat National Agency	1	0
Competition The Book Shop	1	0
University Book	1	0
A C Store	1	0
Love For Boooks	2	1
Capital Book Depot	1	0
Wisdom connections	1	0
Mewa Ram Enterprises	1	0
skhan123.	0	1
Bookvalley	1	0
Atikahmed Mansuri	1	0
Books send Books	1	0
JUST READ	1	0
Kraftme	1	0
GM Books 04	1	0
BALAJI BOOK SERVICE	1	0
Hashtag Digital Services	1	0
Aeroconnect	1	0
Quill And Canvas	1	0
DIAMONDBOOKSHOP	1	0
continental traders hyderabad	2	0
SHREE GANESH01	2	0
BOOKS PLANET	1	1
Standing Conference of Public Enterprise	1	0
OSHO CENTER INNERGROWTH	1	0
GREENERY EXPORTS	1	0
BOOKS TO THE WORLD	2	0
XPRESS ONLINE BOOKS	1	0
Govinda Book House	2	0
Evolution books	1	0
Kimberlite	1	0
HariEnterprises1	1	0
Kalams World Records	1	0
BOOK GALLERY	1	0
Nrusingha books	1	0
Chennai Shop - For Books	1	0
SM Book	2	0
RADHA KRISHNA BOOK STORES	1	0
ANANYABOOKS	2	0
VeerBooks	1	0
AETA Books	1	0
ALL MEDICAL BOOKS U NEED	1	0
NIBA	1	0
Agrosciences Book Centre	1	0
Books Nest	1	0
SSV Medical Books	2	0
VeerBooks.	0	1
Just electronics	1	0
Thulirkum Ver Book Store	1	0
Ansh stationery and Gift Center	2	0
Kuldeep Yadav and Sons	2	0
Yuktika Goyal Shoppee	1	0
Ashwin Senguvattan	2	0
Aditi enterprises	1	0
Twice-told tale	1	0
Aarti enterprises	1	0
Opelab	1	0
Conhouse	1	0
Cent Percent Stores	1	0
Behobe	1	0
Shanthi Ramagopalan Shoppee	1	0
Dantechi	1	0
voltgreen	1	0
Sahil Vashishth Value Store	1	0
Ummah Store	1	0
Bharwani storess	1	0
Aman Saxena Value Store	1	0
Ashutosh Campion Stores	1	0
RatnagirI	1	0
Pauline Stores	1	0
380014	1	0
Monica Pal	1	0
Latika Jintikar and Sons	1	0
Arfa stores	1	0
Sencot Enterprises	1	0
Real Moments and Collection	1	0
Goldgreen	1	0
Om Prakash Vyapaar	1	0
Heena Grover	1	0
SBC USED BOOKS CENTRE	2	0
ALL MEDICAL BOOKS DISTRIBUTORS	2	0
Peepee Publishers	1	1
Mishra Medical Book Distributors	2	0
KKD BOOK STORE	2	0
jeetbookshouse	1	0
Chouhan Book	1	0
2GUYS CREATION	3	0
pbrand	1	0
Read More India	1	0
WesternBooksIndia	1	0
highstreetfashion	1	0
My book house.	1	0
Mittal Book Distributors	1	0
Private Books On Demand	1	0
D K Books Store	1	0
S.R. BOOKS STORE	1	0
OBCP	1	0
D K Books Store.	0	1
examcenter	1	0
BPO book	2	0
JAYESH BOOK STORE	1	0
nomargin	1	0
EStore.	1	0
Shivansh book service	1	0
Paras Medical Books	1	0
Lagniappe Enterprises	1	0
Krishnam Industries	1	0
Konark Publishers	1	0
The readers	1	0
Post office gunni	1	0
self awakening	1	0
A.N.S Book Shop	1	0
PRABHUS BOOKS	1	0
Bharti G G	1	1
SimpliBest	1	1
OWG GYANDEEP	1	0
SHAHBKS	1	0
Star Goods & Services	1	0
MG BOOKS	1	1
royals.boks	1	1
TBH CHENNAI	1	0
Ack Media	1	0
Kids Land Books	1	0
BOOKS EMPIRE	1	0
PANORAMA BOOKSTORE...not just a bookstore	2	0
Shivansh Book Seller	1	0
Praywin	1	0
RETAILBOOKHOUSE	1	0
LIVING BOOKS.	0	1
MRM Books and Stationary	2	0
Mahalaxmi Book. depot	1	0
U.T. Book Depot	1	0
Skhan books	1	0
Bookie Zone	1	1
The bestbook store	1	0
Happy glass house	1	0
Shravani Enterprises	1	0
VAMSI BOOKS STALL	1	0
LUXMI TRADING	1	0
Bonbon & Co.	1	0
Aks_store	1	0
Vivan Publication	1	0
