Seller	No. of times it competes for buybox	No. of times it wins the buybox
BPB PUBLICATIONS	21	0
MAGADH BOOKSTORE	20	0
Bookshastag	15	1
CAMPUS BOOK HOUSE INDIAN INTITUTE OF SCIENCE TBH	32	8
KING BOOKS	5	0
Triple 3 A Centres	7	0
BOOKSWALA.	1	0
ROYAL BOOKS	9	1
Fastech Book Center	6	0
Books For All	52	1
Prism Books Pvt Ltd	45	3
Banaras Book Corner.	1	0
Mishika Computers	8	0
MILLENNIALS MEDIA	10	4
VIVA MARKETING	16	2
Source Books Pvt Ltd.	15	3
Read & Become	14	0
Global Book Store	79	30
Bookland International	18	6
Fastest_BookExpress	4	0
JS BOOKS STORE	1	0
R Rare Books	6	0
A L Enterprises	2	0
Primus Retail Store	1	0
CBS Publishers & Distributors Pvt Ltd	10	1
anybooks india	12	2
Inspire A2Z Store	7	1
chaudhary book store	15	0
SARVA VIDAYA BOOKS	5	0
zillion goods	5	0
Educanation	2	0
PBC MART	3	0
Best Deal India	20	0
India Book Club	7	0
SB Center	17	0
BOOKS MAHAL	1	0
PRISM ONLINE	35	0
Infotech Standards India Pvt. Ltd.	4	0
ASIA BOOK POINT	31	0
Ganesh Book Studio	3	0
Promonis Retails	2	1
ABSSV BOOKS WORLD	29	5
RAINTREE	2	0
cafe book shop	5	0
trump tech	14	1
Defferent books	2	0
Somaiyas	6	0
MK1000books	1	0
skypee	27	1
NAMARA BOOKS	25	0
KOTHARI BOOKS	3	1
Books Tutorial	15	1
Alohomora books house	6	1
Ameen Books	4	0
Book sava centre	3	0
Sai Kritin (SK) Enterprises	8	0
A G Impex	3	0
Nanda Book Service	18	7
Happy Bookss	2	0
RN Books World	5	0
MAC Books	7	0
KK Books	9	0
Book Samhita	2	0
zohair book centre	12	0
MS Venture	8	0
Blossom book house	22	3
Bookestaan	6	1
Pegasus Marketing India	4	0
SanvirBooksWorld.	0	2
tbymj	19	0
FORT BOOK Distributors	11	1
Citadel chess world	7	6
OLD IS GOLD BOOK'S	66	4
JBCPD	60	0
ALPHA Books	1	0
A H boOKS	10	0
MM Books Shop	18	0
DONE DEAL	42	0
ONLINE SHOPPING NOW EASY	8	0
Crack The Deal	2	0
compare price	13	0
TRIPATHI'S	4	0
BetterDeals	18	0
Fair N Frank Book Seller	20	1
Universal Book Zone	16	0
Sampath Vijaya Vinayaka (SVV) Enterprises	16	0
STM Traders Pvt. Ltd.	19	8
Bala Book Center	34	0
Life Change book	1	0
raj pustak mandir jpr	17	0
universal academy	8	0
Shilpa books	6	0
New Book Links	12	0
Bookwuk	7	0
BOOKZILLA SALEM	2	0
SAIRAM16	8	0
International Book Centre	19	1
BOOKMARE	14	0
SRBInternational	21	6
Retail Champ	1	0
Aashirvaad Ecommerce	16	0
Books Mela	15	3
SOMYA BOOKS	6	1
Bookland24	4	0
QUALITY.BOOKS INDIA	25	4
SOUTHERN BOOK SELLERS	2	0
AKSA BOOKS	2	0
STUDENT'S NEED	12	0
Paramount Book Distributors	8	0
EDUCATION BOOK CORNER	5	0
Kozzy Books	44	0
Kashish Book Store	20	1
Perfect_Books	3	0
PURVI MARKETING SOLUTIONS	9	0
Jain Book Agency (JBA)	13	0
BSC Publishers & Distributors	19	1
Medical Book store	1	1
Jaypee Brothers Medical Publishers	1	0
SHOPMEBOOK	1	0
A.M.BOOK	1	0
OneShop Books	3	0
Talekart	36	0
Amaira books	1	0
IMPACT BOOKS	10	0
R.A Books	22	0
Reader's stock	5	0
B.P.A BOOKS	12	0
Angoor Prakashann	17	1
BooksJunction	6	0
S.S.S.ENTERPRISESS	8	1
SN Book Center	4	0
HHH Books Shop	10	0
Manav Books	24	8
The Browser Bookstore	25	0
M.R. Book Centre	18	2
S R BOOKS	1	0
M N BOOKS	2	0
KESARIBHARAT	1	0
sri book house	8	1
WM RETAIL	1	0
GBD Publishers	12	1
Bookshelff	42	0
Pre-order now.	0	9
